pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^[a-f0-9]{32}$;../runGen4Rest/hyper-03-08/bech2-between_9322_1.txt;1.21;0.0;0.0;0.29;0.12;0.4;0.0;0.36;0.24;0.02;0.02;0.18;0.25;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
\d{1,3}.?\d{0,3}\s[a-zA-Z]{2,30}\s[a-zA-Z]{2,15};../runGen4Rest/hyper-03-08/internetSources-between_30_1.txt;0.0;0.03;0.03;0.86;7.7;1.0;0.02;0.28;0.91;0.1;1.2;1.45;3.03;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[0-9]{10}GBR[0-9]{7}[U,M,F]{1}[0-9]{9}$;../runGen4Rest/hyper-03-08/internetSources-between_84_1.txt;0.02;0.0;0.0;0.31;0.12;0.4;0.0;0.25;0.11;0.02;0.02;0.16;0.24;0.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^(429496729[0-6]|42949672[0-8]\d|4294967[01]\d{2}|429496[0-6]\d{3}|42949[0-5]\d{4}|4294[0-8]\d{5}|429[0-3]\d{6}|42[0-8]\d{7}|4[01]\d{8}|[1-3]\d{9}|[1-9]\d{8}|[1-9]\d{7}|[1-9]\d{6}|[1-9]\d{5}|[1-9]\d{4}|[1-9]\d{3}|[1-9]\d{2}|[1-9]\d|\d)$;../runGen8/texts/missing-hyper2/missing-20-08_08_1.txt;0.01;0.01;0.0;0.74;0.14;TO;0.0;0.3;0.08;0.01;0.01;0.16;0.26;0.7;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;11.0
^(\d|\d{1,9}|1\d{1,9}|20\d{8}|213\d{7}|2146\d{6}|21473\d{5}|214747\d{4}|2147482\d{3}|21474835\d{2}|214748364[0-7])$;../runGen8/texts/missing-hyper2/missing-20-08_16_1.txt;0.02;0.02;0.0;0.7;0.15;0.73;0.0;0.3;0.1;0.02;0.01;0.16;0.24;0.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0
""((\d{4}|\d{2})-(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)-(\d{4}|\d{2}))|((\d{4}|\d{2})-\d{2}-(\d{4}|\d{2}))|((\d{4}|\d{2})\/(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\/(\d{4}|\d{2}))|((\d{4}|\d{2})\/(\d{3}|\d{2})\/(\d{4}|\d{2}))|([0-3][0-9]((st)|(nd)|(rd)|(th))((\s)?)(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec))"""", """"Bill dated 27-May-18 for your airtel fixedline/broadband ID ##### has been sent at abc@abc.com from ebill@abc.com. Due amount: Rs 2,358.82, due date: 15-Jun-18"";../runGen8/texts/missing-hyper2/missing-20-08_23_1.txt;0.0;0.08;0.06;1.21;TO;TO;0.0;0.26;3.79;0.26;7.67;4.32;4.27;1.58;0;0;0;0;TO;TO;ERR;0;0;0;0;0;0;0;11.0
"", ""([^%]{500}[^\n]+)[^%]*;../runGen8/texts/missing-hyper2/missing-20-08_26_1.txt;3.43;1.07;0.01;0.4;0.21;0.45;0.09;0.24;0.26;0.02;0.02;0.06;0.38;0.95;1;1;1;1;1;1;1;0;1;1;1;1;1;1;11.000332
"", ""."", ""<f:validateRegex pattern=""([a-zA-Z_0-9])\.{4,32}"" />;../runGen8/texts/missing-hyper2/missing-20-08_29_1.txt;0.01;0.01;0.03;0.61;0.86;0.66;0.04;0.29;0.09;0.02;0.02;0.13;0.43;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0
"", ""[ ]"", ""[+]46"", ""\+46"", ""[+]\d{46}"", ""[+46];../runGen8/texts/missing-hyper2/missing-20-08_30_1.txt;0.02;0.01;0.01;0.46;0.14;0.61;0.0;0.32;0.07;0.03;0.02;0.05;0.31;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000054
"", ""[- \w().[\]!#,&*+:'/]{1,80};../runGen8/texts/missing-hyper2/missing-20-08_31_1.txt;0.02;0.02;0.01;0.92;0.16;0.9;0.0;0.29;0.15;0.02;0.02;0.05;0.08;1.22;0;1;1;1;1;1;ERR;0;ERR;1;1;1;;1;17.000005
"", ""[-+&/,A-z0-9\s]{1,127};../runGen8/texts/missing-hyper2/missing-20-08_32_1.txt;0.04;0.02;0.01;0.4;0.18;0.48;0.0;0.28;0.08;0.02;0.02;0.04;0.36;0.73;0;1;1;1;1;1;1;0;1;1;1;1;1;1;21.000008
"", ""\\X{20,}"", ""\\X{20,}"", """", ""\;../runGen8/texts/missing-hyper2/missing-20-08_33_1.txt;ERR;ERR;ERR;ERR;ERR;ERR;0.0;0.28;0.08;0.01;ERR;0.02;0.07;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;0;;ERR;21.000116
"", ""\d{4}\d{2}\d{2}"", ""\d{4}\d{2}\d{2}"", ""d{2}"", ""\d{4}"", ""(\d{4})(\d{2})(\d{2});../runGen8/texts/missing-hyper2/missing-20-08_34_1.txt;0.02;0.1;0.01;0.4;0.14;0.68;0.0;0.3;0.06;0.01;0.02;0.04;0.26;0.72;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.0
"", ""pattern=""[0-9]{7}"""", ""input( type=""tel"", pattern=""\d{7}"" )"", ""<input type=""tel"" pattern=""d{7}"">;../runGen8/texts/missing-hyper2/missing-20-08_35_1.txt;0.04;0.05;0.01;0.46;0.13;0.59;0.0;0.28;0.07;0.01;0.01;0.04;0.25;0.72;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.000011
"", ""std::regex regexp(""([0-9]{16}):([0-9]{5,20}):([a-zA-Z0-9\+/=]{28})"")"", ""std::regex regexp(""([0-9]{16}):([0-9]{5,20}):([a-zA-Z0-9\+/=]{28})"",std::regex_constants::extended);../runGen8/texts/missing-hyper2/missing-20-08_36_1.txt;0.82;0.02;0.02;0.52;0.65;0.77;0.01;0.31;0.15;0.02;0.08;0.1;0.79;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000088
"", ""{1,24};../runGen8/texts/missing-hyper2/missing-20-08_37_1.txt;0.01;0.01;0.01;0.38;0.15;0.43;0.0;0.26;0.08;0.03;0.02;0.04;0.31;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;21.000006
""DROP\s+tcp\s+\S+\s+(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+0\.0\.0\.0/0\s+tcp\s+dpt:(\d+)"""", ""DROP\s+tcp\s+\S+\s+(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+0\.0\.0\.0/0\s+tcp\s+dpt:(\d+);../runGen8/texts/missing-hyper2/missing-20-08_40_1.txt;0.02;0.02;0.01;0.5;0.22;1.42;0.01;0.3;0.09;0.01;0.02;0.05;0.42;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.00708
""I - (Fab|Opt) - [0-9]+ - ([0-9]{4}/[0-9]{2}/[0-9]{2}) ([0-9]{2}:[0-9]{2}:[0-9]{2}:[0-9]{3}) - .+ Bus / (.+) : 500|.+|003([0-9]{7}).+"""", ;../runGen8/texts/missing-hyper2/missing-20-08_41_1.txt;0.02;0.44;0.02;0.44;0.71;3.17;0.06;0.28;0.26;0.03;0.02;0.06;0.38;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;21.0
""USSS"",(\d+\.\d{12}),(\d+\.\d{12});../runGen8/texts/missing-hyper2/missing-20-08_43_1.txt;0.02;0.04;0.0;0.4;0.13;0.47;0.0;0.29;0.08;0.02;0.02;0.03;0.24;0.7;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.001015
""[0-9]{0,14}"""", ""{0,14};../runGen8/texts/missing-hyper2/missing-20-08_45_1.txt;0.04;0.01;0.03;0.54;1.6;0.86;0.03;0.29;0.41;0.04;0.02;0.2;0.53;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000003
""[A-Z0-9]{3}_[ -~]{1,28}"""", ""[A-Z0-9]{3}_[ -~]{1,28}"", ""nginx: [emerg] invalid condition ""[A-Z0-9]"" in /etc/nginx/nginx.conf:29;../runGen8/texts/missing-hyper2/missing-20-08_46_1.txt;0.0;0.14;0.0;0.36;0.12;7.45;0.0;0.28;0.07;0.0;0.01;0.02;0.25;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;11.00001
""[\d\-\s]{10,25}"" to match your criteria"", ""\d"", ""\w;../runGen8/texts/missing-hyper2/missing-20-08_47_1.txt;0.01;0.02;0.01;1.09;0.64;1.14;0.02;0.29;0.16;0.02;0.02;0.06;0.41;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000052
""\d{4}-\d{2}-\d{2}-\d{2}[ .]\d{2}:\d{2}.*"""", ""\d{4}-\d{2}-\d{2}-\d{2}[ .]\d{2}:\d{2}.*;../runGen8/texts/missing-hyper/missingHyper_9053_1.txt;0.02;0.01;0.04;0.63;TO;0.96;0.02;0.26;TO;TO;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;TO;0;TO;TO;TO
([0-9]{2}\:[0-9]{2}\:[0-9]{2},[0-9]{3}) --> ([0-9]{2}\:[0-9]{2}\:[0-9]{2},[0-9]{3}) --> ([0-9]{2}\:[0-9]{2}\:[0-9]{2},[0-9]{3});../runGen4Rest/hyper-03-08/stackoverflow-between_9065_1.txt;0.02;0.07;0.04;0.59;2.38;0.83;0.0;0.22;0.3;0.04;0.36;0.69;0.81;0.62;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.5
([0-9]{4}\/[0-9]{2}\/[0-9]{2} [0-9]{2}:[0-9]{2}:[0-9]{2}:[0-9]{3})([\s\S]*)([0-9]{4}\/[0-9]{2}\/[0-9]{2} [0-9]{2}:[0-9]{2}:[0-9]{2}:[0-9]{3});../runGen4Rest/hyper-03-08/stackoverflow-between_9066_1.txt;0.04;0.05;0.01;0.3;0.8;0.51;0.0;0.26;0.18;0.02;0.02;0.14;0.72;0.61;0;1;1;1;1;1;ERR;0;1;1;1;1;1;1;10.5
([0-9]{6}-[0-9]{2}:[0-9]{2}:[0-9]{2}:[0-9]+ \[mod=[\s\S]*)[0-9]{6}-[0-9]{2}:[0-9]{2}:[0-9]{2}:[0-9]+ \[mod=;../runGen4Rest/hyper-03-08/stackoverflow-between_9067_1.txt;0.04;0.12;0.0;0.34;0.8;0.43;0.04;0.25;0.19;0.02;0.02;0.13;0.7;0.62;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.300014
([0-9]{6}[-*][0-9xX]{7}).*([0-9]{1,3}-[0-9]{1,3}-[0-9]{1,3}).*([FPTSUCD])=?([01][*-]);../runGen4Rest/hyper-03-08/stackoverflow-between_9068_1.txt;0.04;0.04;0.03;0.55;TO;1.59;0.03;0.25;TO;0.02;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;10.300004
([0-9]{6}|\*[0-9][0-9\*]{0,4}|[0-9]\*[0-9\*]{0,4}|[0-9]{2}\*[0-9\*]{0,3}|[0-9]{3}\*[0-9\*]{0,2}|[0-9]{4}\*[0-9\*]?|[0-9]{5}\*);../runGen4Rest/hyper-03-08/stackoverflow-between_9069_1.txt;0.04;0.02;0.1;0.55;5.23;0.79;0.02;0.27;1.18;0.08;3.9;1.87;0.94;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300002
([0-9]{7})"", ""A([0-9]{7})"", ""R([0-9]{7});../runGen4Rest/hyper-03-08/stackoverflow-between_9070_1.txt;0.01;0.1;0.0;0.33;0.12;0.41;0.0;0.24;0.07;0.01;0.02;0.02;0.23;0.63;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
([0-9]{8})_([0-9]{4})"", ""([0-9]{8}_[0-9]{4});../runGen4Rest/hyper-03-08/stackoverflow-between_9071_1.txt;0.01;0.1;0.0;0.32;0.15;0.39;0.0;0.25;0.06;0.02;0.02;0.02;0.24;0.6;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
([0-9]{9})|([0-9]{3}-[0-9]{2}-[0-9]{4})|([0-9]{2}-[0-9]{7});../runGen4Rest/hyper-03-08/stackoverflow-between_9072_1.txt;0.04;0.03;0.09;0.59;3.93;1.06;0.02;0.24;1.24;0.08;2.62;1.23;0.73;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
([0-9a-f]{32}).*should be.*([0-9a-f]{32});../runGen4Rest/hyper-03-08/stackoverflow-between_9073_1.txt;3.09;0.02;0.0;0.34;0.88;0.39;0.04;0.29;0.27;0.03;0.13;0.13;0.55;0.69;1;1;1;1;1;1;1;0;1;0;1;1;1;1;10.983468
([0-9a-z-]{36}).*;../runGen4Rest/hyper-03-08/stackoverflow-between_9074_1.txt;2.07;0.24;0.0;0.32;0.41;0.4;0.03;0.25;0.15;0.02;0.01;0.04;0.28;0.64;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
([0-9a-zA-Z]{32}):(S{3,32});../runGen4Rest/hyper-03-08/stackoverflow-between_9075_1.txt;0.01;0.01;0.02;0.54;8.74;0.81;0.0;0.23;0.08;0.47;0.01;1.35;4.37;2.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
([1-9]\d{3}|[1-9]\d{4}|[1-4]\d{5}|500000)"", ""([1-9]\d{3,4}|[1-4]\d{5}|500000);../runGen4Rest/hyper-03-08/stackoverflow-between_9076_1.txt;0.04;0.01;0.04;0.62;14.38;2.6;0.02;0.27;0.08;0.24;0.02;2.05;1.7;1.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.366005
([67]\d{10})|([67]\d{9})"", ""[67]\d{9,10};../runGen4Rest/hyper-03-08/stackoverflow-between_9077_1.txt;0.04;0.03;0.09;0.66;3.76;0.86;0.1;0.29;0.71;0.07;1.74;0.88;0.6;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
([A-Z0-9]{24}\s\/\*\s[A-Za-z\.\s0-9]+\*\/\s=\s{isa\s\=\s[A-Za-z]*\s?fileRef\s\=\s[A-Z0-9]*\s\/\*\s[A-Za-z0-9\s\.]*\*\/\ssettings\s\=\s{[A-Za-z0-9_\s\=""-]*\s\}\s});../runGen4Rest/hyper-03-08/stackoverflow-between_9078_1.txt;2.95;0.08;0.05;0.51;3.79;0.86;0.0;0.29;0.16;0.14;0.01;0.94;0.08;1.35;0;0;0;0;0;0;ERR;0;0;0;0;0;;0;10.300092
([A-Z0-9]{5}[-]{2}|[A-Z0-9]{6}[-]{1})([0-9]{3})([A-Z]{2})([65][A-F0-9]{2})"", ""([A-Z0-9]{5}[-]{2}|[A-Z0-9]{6}[-]{1})([0-9]{3})([A-Z]{2})(65)([A-F0-9]{2});../runGen4Rest/hyper-03-08/stackoverflow-between_9080_1.txt;0.02;0.0;0.03;0.54;5.69;1.3;0.02;0.23;0.08;0.03;0.02;1.25;1.97;1.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300016
([A-Z1-9]{5})-([A-Z1-9]{5})-([A-Z1-9]{5})-([A-Z1-9]{5})-([A-Z1-9]{5});../runGen4Rest/hyper-03-08/stackoverflow-between_9081_1.txt;0.01;0.3;0.0;0.31;0.12;0.38;0.0;0.29;0.08;0.02;0.02;0.03;0.27;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
([A-Z][A-Za-z0-9'"".]{48,}[.])"", ""(.*[0-9].*);../runGen4Rest/hyper-03-08/stackoverflow-between_9082_1.txt;0.01;0.01;ERR;19.66;TO;0.99;21.93;0.28;TO;TO;0.02;TO;TO;ERR;0;0;ERR;0;TO;0;0;0;TO;TO;0;TO;TO;ERR;10.342176
([A-Z]{2})|([A-Z]{3})|([A-Z]{4})|([A-Z] [A-Z])"", ""([A-Z]{2,4})|([A-Z] [A-Z])"", ""[A-Z][a-z]{,15}"", ""{[minLenght],[Maxlength]};../runGen4Rest/hyper-03-08/stackoverflow-between_9083_1.txt;2.67;0.05;0.09;0.66;4.51;1.6;0.0;0.28;1.96;0.14;3.79;1.88;0.08;1.31;0;0;0;0;0;0;ERR;0;0;0;0;0;;0;15.75
([A-Za-z0-9]{8}[*_][A-Za-z0-9]{2})"", ""([A-Za-z0-9]{17});../runGen4Rest/hyper-03-08/stackoverflow-between_9084_1.txt;1.88;0.06;0.03;0.53;2.83;0.94;0.02;0.26;0.34;0.04;0.23;0.58;1.09;1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
([A-Za-z]{1,1} [A-Za-z+]{3,100});../runGen4Rest/hyper-03-08/stackoverflow-between_9085_1.txt;1.43;0.02;0.04;0.54;2.0;0.83;0.02;0.26;0.64;0.07;0.91;0.6;0.66;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
([A-Za-z]{2,5})-?[0-9]{1,15}[A-Za-z]{0,15}"", ""group(1);../runGen4Rest/hyper-03-08/stackoverflow-between_9086_1.txt;0.01;0.0;0.04;0.55;8.15;1.11;0.0;0.25;0.08;0.12;0.02;2.07;4.4;1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300029
([A-Za-z]{5}\.[A-Za-z]{3}\.[A-Za-z]{3}\.[A-Za-z]{3}\.[0-9]{3}\.[0-9]{2})\.([0-9]{8}\-[0-9]{6})\.csv;../runGen4Rest/hyper-03-08/stackoverflow-between_9087_1.txt;0.01;0.01;0.03;0.55;1.69;0.85;0.0;0.3;0.08;0.04;0.01;0.49;0.77;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300005
([A-Za-z]{8,16} {0,8})"", ""([A-Za-z ]{16})"", ""(\d{3})([A-Za-z ]{16})(\d{8});../runGen4Rest/hyper-03-08/stackoverflow-between_9088_1.txt;0.01;0.01;0.03;0.64;11.33;1.08;0.02;0.27;2.19;0.23;2.17;2.64;5.44;1.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300032
([A-z0-9]{1}[A-z0-9]{3,23}[A-z0-9]{1})$;../runGen4Rest/hyper-03-08/stackoverflow-between_9089_1.txt;44.64;0.01;0.04;0.56;35.4;1.04;0.0;0.24;6.76;1.17;0.02;9.8;8.16;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.300004
([[0-9]{4})([A-Z]{4})([A-Z]{4})([0-9]{4})([0-9]{3})"", ""[0-9]{4}[A-Z]{4}[A-Z]{4}[0-9]{4}[0-9]{3}"", ""[1-9][0-9]{3}[A-Z]{4}[A-Z]{4}[0-9]{4}[0-9]{3};../runGen4Rest/hyper-03-08/stackoverflow-between_9090_1.txt;0.01;0.08;0.0;0.33;0.14;0.98;0.0;0.23;0.1;0.02;0.02;0.03;0.07;0.58;1;1;1;1;1;1;ERR;0;"premature end of char-class: /([[0-9]{4})([A-Z]{4})([A-Z]{4})([0-9]{4})([0-9]{3})"". ""[0-9]{4}[A-Z]{4}[A-Z]{4}[0-9]{4}[0-9]{3}"". ""[1-9][0-9]{3}[A-Z]{4}[A-Z]{4}[0-9]{4}[0-9]{3}/###0";1;1;1;;1;10.5
([\w]{4,25});../runGen4Rest/hyper-03-08/stackoverflow-between_9091_1.txt;0.01;0.01;0.04;1.98;0.82;0.86;0.04;0.26;0.1;0.03;0.05;0.38;0.3;0.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
([^:.\/]+)[a-f0-9]{32};../runGen4Rest/hyper-03-08/stackoverflow-between_9092_1.txt;TO;0.04;0.06;0.61;TO;0.86;0.0;0.26;TO;0.03;0.88;TO;TO;TO;TO;0;0;0;TO;0;ERR;0;TO;0;0;TO;TO;TO;15.75
([a-f0-9]{8}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{12})"", ""...;../runGen4Rest/hyper-03-08/stackoverflow-between_9093_1.txt;0.0;0.08;0.01;0.32;0.13;0.39;0.0;0.22;0.07;0.01;0.02;0.04;0.23;0.5;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.300038
([a-fA-F0-9]{8}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{12});../runGen4Rest/hyper-03-08/stackoverflow-between_9094_1.txt;2.42;0.15;0.03;0.54;3.8;0.38;0.02;0.26;0.48;0.06;0.34;0.6;1.18;1.02;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10.5
([a-fA-F\d]{32,40});../runGen4Rest/hyper-03-08/stackoverflow-between_9095_1.txt;0.01;0.18;0.01;0.66;0.14;0.46;0.0;0.25;0.07;0.0;0.02;0.03;0.22;0.66;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
([a-f\d]{8}-[a-f\d]{4}-[a-f\d]{4}-[a-f\d]{4}-([a-f\d]){12})"", ""([A-Fa-f0-9]{8}[\-][A-Fa-f0-9]{4}[\-][A-Fa-f0-9]{4}[\-][A-Fa-f0-9]{4}[\-]([A-Fa-f0-9]){12})"", ""([a-f0-9A-F]{8}-[a-f0-9A-F]{4}-[a-f0-9A-F]{4}-[a-f0-9A-F]{4}-([a-f0-9A-F]){12});../runGen4Rest/hyper-03-08/stackoverflow-between_9096_1.txt;1.08;0.02;0.06;0.91;3.62;1.03;0.03;0.26;0.18;0.04;0.09;0.62;0.92;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
([a-zA-Z0-9]{5,6}_[a-zA-Z0-9]{5})|[a-zA-Z0-9]{6}"", ""([0-9A-Za-z]{5,6}_[0-9A-Za-z]{5})|[0-9A-Za-z]{6};../runGen4Rest/hyper-03-08/stackoverflow-between_9097_1.txt;1.66;0.03;0.09;0.59;3.53;1.04;0.03;0.25;1.3;0.12;2.18;1.14;1.24;1.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
([a-zA-Z]\w{3,19}) (RENT|SALE|PURCHASE|SERVICES|DATING) ((\w|\W|\s){10,30}) ((\w|\W|\s){20,400})"", ""[author name] [topic] [header] [text];../runGen4Rest/hyper-03-08/stackoverflow-between_9099_1.txt;0.54;0.1;ERR;1.28;26.52;6.25;0.02;0.23;0.07;0.28;0.02;3.16;3.94;1.77;0;0;ERR;0;0;0;ERR;0;0;0;0;0;0;0;10.335884
([a-zA-Z]{3})[0-9]{7}"", ""\d"", ""\w"", ""[a-zA-Z]{3}\d{7}"", ""[0-9]"", ""[a-zA-Z_0-9]"", ""[a-zA-Z]{3}[0-9]{7};../runGen4Rest/hyper-03-08/stackoverflow-between_9100_1.txt;0.0;0.12;0.04;1.14;1.96;1.31;0.02;0.28;0.32;0.03;0.33;0.58;1.06;0.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
([a-zA-Z]{4}[a-zA-Z]{2})"", ""\d"", ""[0-9]"", "":32[^:]:.?([a-zA-Z]{6}\d[a-zA-Z]XXX)"", ""[X]{3}"", ""[a-zA-Z]{6}"", "".?;../runGen4Rest/hyper-03-08/stackoverflow-between_9101_1.txt;0.04;0.02;0.02;0.67;2.33;1.05;0.02;0.3;0.17;0.03;0.15;0.6;1.04;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300014
([a-z])([0-9]{5})"", ""([0-9]{1,40})"", ""([a-z]+);../runGen4Rest/hyper-03-08/stackoverflow-between_9103_1.txt;0.0;0.06;0.01;0.37;0.12;0.37;0.0;0.26;0.08;0.01;0.02;0.03;0.21;0.46;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.300014
([a-z]+)_([0-9.]{9,})\.jpg"", ""[0-9]"", ""{9,}"", ""([a-z]+)_([0-9]{3,})\.jpg"", ""([a-z]+)_([0-9\w]{3,})\.jpg"", ""([a-z]+)_([0-9.\w]{3,})\.jpg;../runGen4Rest/hyper-03-08/stackoverflow-between_9104_1.txt;0.0;0.02;0.03;1.14;1.38;1.29;0.0;0.3;0.57;0.05;0.02;0.46;1.63;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300004
([payment no:  ][0-9]{4}[0-9]{0,16})([0-9]{4})"", ""Payment Instrument modified. payment no: 5000000000000000, method: C for transponder: 5000000000000000 transponder type: A;../runGen4Rest/hyper-03-08/stackoverflow-between_9105_1.txt;0.05;0.02;0.02;0.6;2.47;1.44;0.0;0.28;0.22;0.1;0.02;0.61;1.46;0.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.30005
([w]{3}\.[a-zA-Z0-9\-]+\.([a-zA-Z0-9]{3,4}|[a-zA-Z]{2}|[a-zA-Z0-9]{3,4}\.[a-zA-Z]{2}))/?(\?\S*=\S*)"", ""([w]{3}\.[a-zA-Z0-9\-]+\.([a-zA-Z0-9]{3,4}|[a-zA-Z]{2}|[a-zA-Z0-9]{3,4}\.[a-zA-Z]{2}))/?;../runGen4Rest/hyper-03-08/stackoverflow-between_9106_1.txt;0.01;0.25;0.0;0.34;0.15;5.04;0.0;0.25;0.08;0.01;0.02;0.03;0.26;0.53;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
(\*)"", ""."", """"A(\d{6})_B(\d{6})_v(\d{1,3}\.\d{1,2})_(.*)\.xml"""", "".xml"", ""A123456_B123456_v1.10_File Name"", ""\.xml"", ""Regex.IsMatch"", """"A\d{6}_B\d{6}_v\d{1,3}\.\d{1,2}_.*\.xml"""", ""A123456_B123456_v1.10_*"", ""A123456_B123456_v1.10_;../runGen4Rest/hyper-03-08/stackoverflow-between_9107_1.txt;0.02;0.08;0.03;0.73;TO;81.04;0.02;0.27;TO;0.03;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;10.415343
(\+6?01)[0-9]{7,8}"", ""(\+6?01)[0-46-9]-*[0-9]{7,8}"", ""<input class=""mdl-textfield__input"" name=""mobile_number"" type=""text"" pattern=""(\+6?01)[0-9]{7,8}"">;../runGen4Rest/hyper-03-08/stackoverflow-between_9108_1.txt;0.04;0.05;0.04;0.59;0.6;0.79;0.02;0.21;0.16;0.02;0.11;0.11;0.73;0.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300004
(\+[\d]{11}|[\d]{10,11}|\+\d\ [\d]{3}\ [\d]{3}\ [\d]{2}\ [\d]{2}|\d\([\d]{3}\)[\d\-]{9}|[\d\ ]{14,15}|[\d\-]{14,15}|[\d\-]{9}|\(\d\d\d\)[\d\-]{9,10}|\(\d\d\d\)[\d\ ]{9,10}|\(\d\d\d\)[\d\-]{7});../runGen4Rest/hyper-03-08/stackoverflow-between_9109_1.txt;0.05;0.3;0.06;0.98;11.12;3.68;0.0;0.23;1.66;0.18;3.5;2.01;2.65;1.09;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.5
(\+\d{12}|\d{11}|\+91-\d{10,12}|\+\d{2}-\d{3}-\d{7});../runGen4Rest/hyper-03-08/stackoverflow-between_9110_1.txt;0.05;0.02;0.09;1.0;3.88;0.85;0.02;0.24;0.63;0.08;1.76;0.99;0.84;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
(\+\d{2}|0)(\d{7,8})"", ""(\d{7,8})"", ""(\d{15})"", ""(\+\d{2}|0)(\d{15});../runGen4Rest/hyper-03-08/stackoverflow-between_9111_1.txt;0.02;0.06;0.04;0.68;3.23;0.88;0.02;0.25;0.07;0.11;0.01;0.7;0.68;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.729056
